merchant_name,category,match_type,note
치과,생활,contains,건강/의료
편의점,생활,contains,
피부과,생활,contains,건강/의료
한의원,생활,contains,건강/의료
CJ대한통운,생활,prefix,
CU,생활,prefix,
GS25,생활,prefix,
노브랜드,생활,prefix,
다이소,생활,prefix,
롯데마트,생활,prefix,
미니스톱,생활,prefix,
세븐일레븐,생활,prefix,
씨유,생활,prefix,CU 실제 카드 표기. CU prefix로는 안 잡힘
알파문구,생활,prefix,
우체국,생활,prefix,
이마트,생활,prefix,
이마트24,생활,prefix,이마트보다 먼저 매칭
코스트코,생활,prefix,
트레이더스,생활,prefix,
홈플러스,생활,prefix,
ZARA,쇼핑/패션,contains,기존 _RULES
네일,쇼핑/패션,contains,패션/미용
미용실,쇼핑/패션,contains,패션/미용
백화점,쇼핑/패션,contains,기존 _RULES
속눈썹,쇼핑/패션,contains,패션/미용
아울렛,쇼핑/패션,contains,
올웨이즈,쇼핑/패션,contains,기존 _RULES
왁싱,쇼핑/패션,contains,패션/미용
위메프,쇼핑/패션,contains,기존 _RULES
이발,쇼핑/패션,contains,패션/미용
지마켓,쇼핑/패션,contains,기존 _RULES
티몬,쇼핑/패션,contains,기존 _RULES
헤어,쇼핑/패션,contains,패션/미용
11번가,쇼핑/패션,prefix,
29CM,쇼핑/패션,prefix,
ABC마트,쇼핑/패션,prefix,
AK플라자,쇼핑/패션,prefix,
G마켓,쇼핑/패션,prefix,
H&M,쇼핑/패션,prefix,
SSG닷컴,쇼핑/패션,prefix,
W컨셉,쇼핑/패션,prefix,
나이키,쇼핑/패션,prefix,
네이버쇼핑,쇼핑/패션,prefix,
뉴발란스,쇼핑/패션,prefix,
당근마켓,쇼핑/패션,prefix,
랄라블라,쇼핑/패션,prefix,
롯데백화점,쇼핑/패션,prefix,
무신사,쇼핑/패션,prefix,
번개장터,쇼핑/패션,prefix,
브랜디,쇼핑/패션,prefix,
삼성전자판매,쇼핑/패션,prefix,
슈마커,쇼핑/패션,prefix,
스파오,쇼핑/패션,prefix,
신세계백화점,쇼핑/패션,prefix,
아디다스,쇼핑/패션,prefix,
아리따움,쇼핑/패션,prefix,
알리익스프레스,쇼핑/패션,prefix,
애플스토어,쇼핑/패션,prefix,
에뛰드,쇼핑/패션,prefix,
에이블리,쇼핑/패션,prefix,
에잇세컨즈,쇼핑/패션,prefix,
옥션,쇼핑/패션,prefix,
올리브영,쇼핑/패션,prefix,
유니클로,쇼핑/패션,prefix,
이니스프리,쇼핑/패션,prefix,
자라,쇼핑/패션,prefix,
전자랜드,쇼핑/패션,prefix,
지그재그,쇼핑/패션,prefix,
쿠팡,쇼핑/패션,prefix,
탑텐,쇼핑/패션,prefix,
테무,쇼핑/패션,prefix,
토니모리,쇼핑/패션,prefix,
하이마트,쇼핑/패션,prefix,
현대백화점,쇼핑/패션,prefix,
고깃집,식비,contains,기존 _RULES
국밥,식비,contains,기존 _RULES
김밥,식비,contains,기존 _RULES
떡볶이,식비,contains,기존 _RULES
라멘,식비,contains,
버거,식비,contains,기존 _RULES
보쌈,식비,contains,기존 _RULES
분식,식비,contains,기존 _RULES
술집,식비,contains,
식당,식비,contains,
아이스크림할인점,식비,contains,
족발,식비,contains,기존 _RULES
치킨,식비,contains,기존 _RULES
카페,식비,contains,기존 _RULES
칼국수,식비,contains,
커피,식비,contains,기존 _RULES
타코,식비,contains,
투썸,식비,contains,기존 _RULES
포차,식비,contains,
피자,식비,contains,
호프,식비,contains,
BBQ,식비,prefix,
BHC,식비,prefix,
KFC,식비,prefix,
고봉민김밥,식비,prefix,
공차,식비,prefix,
교촌치킨,식비,prefix,
굽네치킨,식비,prefix,
김가네,식비,prefix,
김밥천국,식비,prefix,
네네치킨,식비,prefix,
노브랜드버거,식비,prefix,노브랜드보다 먼저 매칭
더벤티,식비,prefix,
던킨,식비,prefix,던킨도너츠 포함
도미노피자,식비,prefix,
두찜,식비,prefix,
드롭탑,식비,prefix,
땡겨요,식비,prefix,
뚜레쥬르,식비,prefix,
롯데리아,식비,prefix,
맘스터치,식비,prefix,
매머드커피,식비,prefix,매머드익스프레스 포함
맥도날드,식비,prefix,
메가커피,식비,prefix,메가MGC커피 포함
명랑핫도그,식비,prefix,
미소야,식비,prefix,
바르다김선생,식비,prefix,
반올림피자,식비,prefix,
배달의민족,식비,prefix,
배민클럽,식비,prefix,배민 구독
배스킨라빈스,식비,prefix,
버거킹,식비,prefix,
본도시락,식비,prefix,
본죽,식비,prefix,
블루보틀,식비,prefix,
빕스,식비,prefix,
빽다방,식비,prefix,
빽보이피자,식비,prefix,
새마을식당,식비,prefix,
서브웨이,식비,prefix,
설빙,식비,prefix,
성심당,식비,prefix,
쉐이크쉑,식비,prefix,
스타벅스,식비,prefix,
신전떡볶이,식비,prefix,
써브웨이,식비,prefix,
아웃백,식비,prefix,아웃백스테이크하우스
애슐리,식비,prefix,
엔제리너스,식비,prefix,
역전우동,식비,prefix,
엽기떡볶이,식비,prefix,
요거프레소,식비,prefix,
요기요,식비,prefix,
우아한형제들,식비,prefix,배달의민족 법인명. 카드 명세에 이 이름으로 찍힘
이디야,식비,prefix,이디야커피 포함
이삭토스트,식비,prefix,
자담치킨,식비,prefix,
죠스떡볶이,식비,prefix,
처갓집양념치킨,식비,prefix,
청년다방,식비,prefix,
카페베네,식비,prefix,
커피빈,식비,prefix,
컴포즈커피,식비,prefix,
쿠팡이츠,식비,prefix,쿠팡보다 먼저 매칭
크리스피크림,식비,prefix,
탐앤탐스,식비,prefix,
투썸플레이스,식비,prefix,
파리바게뜨,식비,prefix,
파스쿠찌,식비,prefix,
파파존스,식비,prefix,
폴바셋,식비,prefix,
푸라닭,식비,prefix,
프랭크버거,식비,prefix,
피자스쿨,식비,prefix,
피자헛,식비,prefix,
하이디라오,식비,prefix,
한국맥도날드,식비,prefix,맥도날드 법인 표기
한솥도시락,식비,prefix,
한신포차,식비,prefix,
할리스,식비,prefix,
홍콩반점,식비,prefix,
YES24,자기계발,contains,기존 _RULES
골프,자기계발,contains,운동
과외,자기계발,contains,
독서실,자기계발,contains,
멀티캠퍼스,자기계발,contains,기존 _RULES
복싱,자기계발,contains,운동
서점,자기계발,contains,도서
수영장,자기계발,contains,운동
스터디카페,자기계발,contains,
요가,자기계발,contains,운동
응시료,자기계발,contains,
인강,자기계발,contains,기존 _RULES
크로스핏,자기계발,contains,운동
클라이밍,자기계발,contains,운동
토익,자기계발,contains,
피트니스,자기계발,contains,운동
필라테스,자기계발,contains,운동
학원,자기계발,contains,
헬스,자기계발,contains,운동
헬스장,자기계발,contains,기존 _RULES
교보문고,자기계발,prefix,도서
듀오링고,자기계발,prefix,교육
메가스터디,자기계발,prefix,교육
시원스쿨,자기계발,prefix,교육
알라딘,자기계발,prefix,도서
야나두,자기계발,prefix,교육
에듀윌,자기계발,prefix,교육
영풍문고,자기계발,prefix,도서
예스24,자기계발,prefix,도서
인프런,자기계발,prefix,교육
클래스101,자기계발,prefix,교육
패스트캠퍼스,자기계발,prefix,교육
해커스,자기계발,prefix,교육
